11,Crowded Table,The Highwomen,https://open.spotify.com/track/5HuaHij4kVpfEVv93MYCeW
49,Cuban Links (feat. Kevin Gates),Rod Wave,https://open.spotify.com/track/4ovta8hB5ymzzsR5EaCEdx
49,Daddy (feat. Rich The Kid),Blueface,https://open.spotify.com/track/6XkLPzkKzPhpr3hrvl1TUq
20,Dance Monkey,Tones And I,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
6,Dancin (feat. Luvli) - Krono Remix,Aaron Smith,https://open.spotify.com/track/6WkJ2OK163XXS2oARUC9JM
28,Dancin - Krono Remix (Extended),Aaron Smith,https://open.spotify.com/track/2jYcqzT5RkJaJvdk1PxFGj
6,Dancing With A Stranger (with Normani),Sam Smith,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
10,Daytrip,STEPHAN,https://open.spotify.com/track/5QTFijKBM9oCO5vH744k7r
36,Dear God,Dax,https://open.spotify.com/track/3EPeQrChkLAwm4KVe7sHwT
46,Death,Trippie Redd,https://open.spotify.com/track/3Kd6Wp3lG5HXMB2dlvuy7y
28,Dedication (feat. Kendrick Lamar),Nipsey Hussle,https://open.spotify.com/track/6fIjnWrv46njJHLDAY2JdC
50,Demons and Angels (feat. Juice WRLD),A Boogie Wit da Hoodie,https://open.spotify.com/track/3L19besdNQzd342qL78xqm
47,Desconocidos,Mau y Ricky,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
41,Did It Again,Lil Tecca,https://open.spotify.com/track/01Qb6dN5suQNu87VJ1mIpf
24,Dile la Verdad,The Rudeboyz,https://open.spotify.com/track/6qP73DRFGojLuIk1siIhNE
48,Dirty Dirty (feat. Lil Skies),Smokepurpp,https://open.spotify.com/track/5JXascjp2bCcLVqdofu89l
37,Dirty Laundry,Danny Brown,https://open.spotify.com/track/0tu5HH23FGMhQiJxHRK3bp
25,Dissolve,Absofacto,https://open.spotify.com/track/7pBrj5rt4SSxXwFKOyZfHR
21,Doin' Time,Lana Del Rey,https://open.spotify.com/track/0cLS7FslBJgsuWwJNRnPWB
2,Don't Call Me Up,Mabel,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
30,Don't Check On Me (feat. Justin Bieber & Ink),Chris Brown,https://open.spotify.com/track/7ILEWkpfdK6AjH2D7jppWk
36,"Don't Give Up On Me - (From ""Five Feet Apart"")",Andy Grammer,https://open.spotify.com/track/4Y0TtDriFlN3XZoQx6PYsu
38,Don't Let Her,Walker Hayes,https://open.spotify.com/track/6UbUXwQn2CM5mb9vHgt1Gz
33,Don't Start Now,Dua Lipa,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
36,Don't Think Twice,Hikaru Utada,https://open.spotify.com/track/0u2DOByL0CghKtcvSkQAiQ
17,Donna,The Lumineers,https://open.spotify.com/track/08uQ0afWImiJrCDB2UoLJW
45,Double Up (feat. Belly and Dom Kennedy),Nipsey Hussle,https://open.spotify.com/track/4iVD0fTHGxV9JWloujsL3s
6,"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",Dreamville,https://open.spotify.com/track/36J0iaPDGbYGsHvYpaYs3k
20,"Down Like That (feat. Rick Ross, Lil Baby & S-X)",KSI,https://open.spotify.com/track/4etKC4ngPKsQDHUMnYgV3A
34,Drunken Lullabies,Flogging Molly,https://open.spotify.com/track/3dtVKmxWGhAB9CLnHHS3Nm
19,EARFQUAKE,"Tyler, The Creator",https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
41,EX,Kiana Ledé,https://open.spotify.com/track/47cQCF21TczFSmGfpd7c07
16,Earth,Lil Dicky,https://open.spotify.com/track/2S1LebN6AXXQqJolBxlWgO
32,Eastside (with Halsey & Khalid),benny blanco,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
43,Easy,DaniLeigh,https://open.spotify.com/track/4CMrdHWqic0usIZfTrKoI3
41,El Amar y el Querer,José José,https://open.spotify.com/track/7wUt1v2ddVqPayC8EKDp5P
50,El Chivo (feat. T3r Elemento),Berner,https://open.spotify.com/track/1t0P9nBKpnrh5MntGd3qw6
22,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dímelo Flow,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL
9,El Güero,Marca MP,https://open.spotify.com/track/4tidSEPF7Dbxcdxv3VyIHd
21,El Güero - En vivo,Marca MP,https://open.spotify.com/track/7a6gK5GwlIvGTU4ayZhskd
42,El Triste,José José,https://open.spotify.com/track/0aTMBEfPCCkKkneU6gLmDD
50,Elastic,Joey Purp,https://open.spotify.com/track/4MAADpR6MjelkaZqe3Mgnv
23,"Elevate (feat. Denzel Curry, YBN Cordae, SwaVay, Trevor Rich)",DJ Khalil,https://open.spotify.com/track/6kiauSlWtddVQx4JwJx51p
34,Ella Quiere Beber - Remix,Anuel AA,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq
41,Empire State Of Mind,JAY-Z,https://open.spotify.com/track/2igwFfvr1OAGX9SKDCPBwO
12,Envy Me,Calboy,https://open.spotify.com/track/05t7JMip6JrLuSrMV5yYjX
31,Esclavo de Tus Besos,Manuel Turizo,https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX
40,Even Though I'm Leaving,Luke Combs,https://open.spotify.com/track/3sVLgsSTHRu483w6QciloO
37,Everybody Eats When They Come To My House,Cab Calloway,https://open.spotify.com/track/5Bw7Nf4mJAOQMtb2Ir9uJX
50,Everyday Is Like Halloween,Ministry,https://open.spotify.com/track/6qmY21MWIcAEPf9G80wKfb
43,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version,Skylar Grey,https://open.spotify.com/track/1SO5RyYJZUAI0aHkAkrF2p
4,Eyes. Lips. Face.,iLL Wayno,https://open.spotify.com/track/5sGb7vB83MhpdZsx1tEIYH
23,F.N,Lil Tjay,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
25,Face My Fears (English Version),Hikaru Utada,https://open.spotify.com/track/0CALOqrkXAE7WB2nyIATLk
28,Fairytale of New York (feat. Kirsty MacColl),The Pogues,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK
50,Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,https://open.spotify.com/track/35MKhw2YBKApmD7fAnPERC
1,Falling,Trevor Daniel,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
21,Falling (blackbear Remix),Trevor Daniel,https://open.spotify.com/track/59IUUAdjVbmq80Nkc3Q9Dx
31,Falling Like The Stars,James Arthur,https://open.spotify.com/track/15xWRPHQMeqgdkGzInx3PY
35,Famous,Adam Doleac,https://open.spotify.com/track/6HBhMdKR4HRfQ3fuGUFbzE
40,Fantasias,Rauw Alejandro,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
1,Fast,Sueco,https://open.spotify.com/track/5qsi0WVBmDWetUpTH0sNIL
38,Faucet Failure,Ski Mask The Slump God,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
6,Fear Inoculum,TOOL,https://open.spotify.com/track/39zWYYZStDgWi32sOU9AX4
