Rank,City,State,Population,County,2020 land area,,2020 population density,,Location,
111,Fontana,California,"208,393",San Bernardino,0.0629,43.1 sq mi,111.6 km2,"4,835/sq mi","1,867/km2",34.10°N 117.46°W
112,Columbus,Georgia,"206,922",Bartholomew,0.0897,216.5 sq mi,560.7 km2,956/sq mi,369/km2,32.51°N 84.87°W
113,Worcester,Massachusetts,"206,518",Worcester,0.1407,37.4 sq mi,96.9 km2,"5,522/sq mi","2,132/km2",42.26°N 71.80°W
114,Port St. Lucie,Florida,"204,851",St. Lucie,0.2445,119.2 sq mi,308.7 km2,"1,719/sq mi",664/km2,27.28°N 80.38°W
115,Little Rock,Arkansas,"202,591",Pulaski,0.0469,120.0 sq mi,310.8 km2,"1,688/sq mi",652/km2,34.72°N 92.35°W
116,Augusta,Georgia,"202,081",Richmond,0.0318,302.3 sq mi,783.0 km2,668/sq mi,258/km2,33.36°N 82.07°W
117,Oxnard,California,"202,063",Ventura,0.021,26.5 sq mi,68.6 km2,"7,625/sq mi","2,944/km2",34.20°N 119.20°W
118,Birmingham,Alabama,"200,733",Birmingham,-5.42%,147.0 sq mi,380.7 km2,"1,366/sq mi",527/km2,33.52°N 86.79°W
119,Montgomery,Alabama,"200,603",Montgomery,-2.51%,159.9 sq mi,414.1 km2,"1,255/sq mi",485/km2,32.34°N 86.26°W
120,Frisco,Texas,"200,509",Frisco,0.7139,68.6 sq mi,177.7 km2,"2,923/sq mi","1,129/km2",33.15°N 96.82°W
121,Amarillo,Texas,"200,393",Amarillo,0.0509,102.3 sq mi,265.0 km2,"1,959/sq mi",756/km2,35.19°N 101.83°W
122,Salt Lake City,Utah,"199,723",Salt Lake,0.0712,110.3 sq mi,285.7 km2,"1,811/sq mi",699/km2,40.77°N 111.93°W
123,Grand Rapids,Michigan,"198,917",Kent,0.0578,44.8 sq mi,116.0 km2,"4,440/sq mi","1,710/km2",42.96°N 85.65°W
124,Huntington Beach,California,"198,711",Orange,0.0459,27.0 sq mi,69.9 km2,"7,360/sq mi","2,840/km2",33.69°N 118.00°W
125,Overland Park,Kansas,"197,238",Johnson,0.1377,75.2 sq mi,194.8 km2,"2,623/sq mi","1,013/km2",38.88°N 94.69°W
126,Glendale,California,"196,543",Los Angeles,0.0252,30.5 sq mi,79.0 km2,"6,444/sq mi","2,488/km2",34.18°N 118.24°W
127,Tallahassee,Florida,"196,169",Leon,0.0816,100.9 sq mi,261.3 km2,"1,944/sq mi",751/km2,30.45°N 84.25°W
128,Grand Prairie,Texas,"196,100",Grand Prairie,0.118,72.6 sq mi,188.0 km2,"2,701/sq mi","1,043/km2",32.68°N 97.02°W
